Posting period / Country final-dest.;Mexico;Argentina;Chile;Other Conosur (Bol/Per/Uru);Brazil;Colombia;Ecuador;Peru;Venezuela,Bol.R;Caribe
01.01.2015;13 055;6 388;1 175;1 006;4 939;4 874;2 907;1 438;2 398;7 847
01.02.2015;14 653;7 666;1 107;1 126;9 494;6 303;2 471;1 552;3 059;8 890
01.03.2015;17 712;11 092;1 343;1 553;13 966;5 236;2 414;2 148;2 794;10 857
01.04.2015;14 714;10 967;1 825;1 356;9 402;5 585;2 622;1 334;-7 490;8 893
01.05.2015;16 486;10 407;1 914;1 143;14 232;6 083;745;1 356;250;8 910
01.06.2015;18 859;9 764;1 890;1 429;13 997;6 138;2 518;1 672;337;10 489
01.07.2015;15 645;10 906;1 822;1 300;10 778;5 478;2 335;1 518;457;7 502
01.08.2015;19 375;10 053;1 679;1 179;9 808;5 169;2 749;1 533;563;9 622
01.09.2015;21 784;10 948;1 618;1 116;11 319;4 896;3 504;1 560;792;9 131
01.10.2015;21 035;9 945;1 694;1 056;10 575;5 916;2 882;1 529;1 510;9 061
01.11.2015;23 140;11 157;1 371;1 078;10 021;7 867;2 736;1 582;1 716;10 296
01.12.2015;14 374;7 924;1 317;1 020;12 127;4 639;3 089;915;1 428;9 032
01.01.2016;12 526;7 448;1 566;932;4 036;3 866;2 352;1 068;117;9 501
01.02.2016;16 614;7 619;1 407;951;7 402;4 906;2 947;1 877;102;9 486
01.03.2016;15 921;8 670;1 351;1 000;12 591;4 762;2 783;1 977;107;9 498
01.04.2016;14 739;9 171;1 348;1 124;8 095;4 453;2 778;1 081;106;8 339
01.05.2016;15 684;9 989;1 438;1 145;7 447;5 558;3 004;1 618;171;9 580
01.06.2016;14 768;9 745;1 284;1 130;11 529;5 990;2 712;1 897;91;9 680
01.07.2016;14 539;9 468;1 304;1 274;7 241;5 285;2 666;1 452;58;9 642
01.08.2016;15 710;10 371;1 398;1 197;11 329;4 638;2 632;1 470;123;9 147
01.09.2016;24 594;10 463;1 321;1 212;8 448;6 143;3 198;1 786;131;9 510
01.10.2016;20 265;10 415;1 284;1 142;10 635;6 590;2 310;1 617;412;8 691
01.11.2016;18 915;9 865;1 288;1 150;9 559;8 194;3 480;1 802;263;10 255
01.12.2016;13 115;8 935;1 355;1 138;14 698;6 905;4 250;1 101;426;10 877
01.01.2017;10 423;8 299;1 357;1 162;1 864;914;1 284;696;23;8 793
01.02.2017;11 637;10 537;1 247;1 232;3 685;2 998;1 862;1 899;71;9 373
01.03.2017;18 323;12 140;1 177;1 363;2 666;5 336;4 194;2 613;142;9 579
01.04.2017;14 651;13 271;1 129;1 275;9 880;3 536;2 311;1 586;98;8 179
01.05.2017;16 069;12 972;1 280;1 376;11 855;4 811;3 334;723;79;8 906
01.06.2017;17 395;12 440;1 361;1 521;10 068;3 878;3 360;1 404;115;8 687
01.07.2017;10 150;10 914;1 360;1 411;7 058;3 695;2 348;654;47;7 903
01.08.2017;18 955;11 382;1 324;1 257;9 564;3 501;2 783;1 593;28;8 371
01.09.2017;20 732;11 519;1 295;1 206;10 257;4 448;3 098;2 754;-9;8 172
01.10.2017;18 566;10 422;1 397;1 213;12 450;5 110;1 999;836;76;10 377
01.11.2017;15 337;9 915;1 401;1 156;10 554;5 824;3 327;3 535;27;10 322
01.12.2017;11 192;8 667;1 473;1 096;9 747;4 782;4 763;1 243;501;9 760
